airline,avail_seat_km_per_week,avail_seat_m_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
United / Continental*,7139291291,4436149941,19,8,319,14,2,109
Delta / Northwest*,6525658894,4054856447,24,12,407,24,2,51
American*,5228357340,3248750634,21,5,101,17,3,416
Lufthansa*,3426529504,2129146723,6,1,2,3,0,0
Southwest Airlines,3276525770,2035938724,1,0,0,8,0,0
British Airways*,3179760952,1975811854,4,0,0,6,0,0
Air France,3004002661,1866600715,14,4,79,6,2,337
Cathay Pacific*,2582459303,1604665816,0,0,0,2,0,0
US Airways / America West*,2455687887,1525893710,16,7,224,11,2,23
Singapore Airlines,2376857805,1476910968,2,2,6,2,1,83
Turkish Airlines,1946098294,1209249417,8,3,64,8,2,84
Qantas*,1917428984,1191435134,1,0,0,5,0,0
KLM*,1874561773,1164798684,7,1,3,1,0,0
Air Canada,1865253802,1159014979,2,0,0,2,0,0
All Nippon Airways,1841234177,1144089876,3,1,1,7,0,0
Korean Air,1734522605,1077782379,12,5,425,1,0,0
Thai Airways,1702802250,1058072264,8,4,308,2,1,1
Japan Airlines,1574217531,978173424.1,3,1,520,0,0,0
TAM,1509195646,937770697.9,8,3,98,7,2,188
Aeroflot*,1197672318,744199076.1,76,14,128,6,1,88
Iberia,1173203126,728994625.1,4,1,148,5,0,0
Malaysia Airlines,1039171244,645711074.8,3,1,34,3,2,537
Virgin Atlantic,1005248585,624632511.8,1,0,0,0,0,0
LAN Airlines,1001965891,622592740.3,3,2,21,0,0,0
Alaska Airlines*,965346773,599838675.3,5,0,0,5,1,88
Air India*,869253552,540129116,2,1,329,4,1,158
Saudi Arabian,859673901,534176596.8,7,2,313,11,0,0
China Airlines,813216487,505309298.1,12,6,535,2,1,225
SWISS*,792601299,492499614.1,2,1,229,3,0,0
Air New Zealand*,710174817,441282172.7,3,0,0,5,1,7
Alitalia,698012498,433724858.1,7,2,50,4,0,0
SAS*,682971852,424379033.9,5,0,0,6,1,110
South African,651502442,404824849.1,2,1,159,1,0,0
Vietnam Airlines,625084918,388409760.7,7,3,171,1,0,0
TAP - Air Portugal,619130754,384710014.8,0,0,0,0,0,0
Garuda Indonesia,613356665,381122162.2,10,3,260,4,2,22
Aeromexico*,596871813,370878950.1,3,1,64,5,0,0
Egyptair,557699891,346538646.2,8,3,282,4,1,14
COPA,550491507,342059564,3,1,47,0,0,0
Finnair,506464950,314702729.8,1,0,0,0,0,0
Hawaiian Airlines,493877795,306881434.3,0,0,0,1,0,0
Ethiopian Airlines,488560643,303577509.2,25,5,167,5,2,92
Xiamen Airlines,430462962,267477283.9,9,1,82,2,0,0
Condor,417982610,259722352.7,2,1,16,0,0,0
Philippine Airlines,413007158,256630750.2,7,4,74,2,1,1
Avianca,396922563,246636246.2,5,3,323,0,0,0
Aerolineas Argentinas,385803648,239727272.7,6,0,0,1,0,0
Austrian Airlines,358239823,222599905.9,1,0,0,1,0,0
Pakistan International,348563137,216587092,8,3,234,10,2,46
El Al,335448023,208437738,1,1,4,1,0,0
Sri Lankan / AirLanka,325582976,202307882,2,1,14,4,0,0
Aer Lingus,320906734,199402199.9,2,0,0,0,0,0
Gulf Air,301379762,187268702,1,0,0,3,1,143
Royal Air Maroc,295705339,183742779,5,3,51,3,0,0
Kenya Airways,277414794,172377561.3,2,0,0,2,2,283
TACA,259373346,161167125.2,3,1,3,1,1,3
