,g,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pts_per_g,Team
0,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,North Carolina Central
1,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,North Dakota State
2,33,6700,873,1998,.437,626,1250,.501,247,748,.330,472,649,.727,316,820,1136,476,284,73,368,580,2465,74.7,Temple
3,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,Belmont
4,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,Duke
5,32,6450,801,1811,.442,572,1066,.537,229,745,.307,455,652,.698,347,827,1174,444,255,145,446,634,2286,71.4,VCU
6,31,6225,765,1652,.463,554,1056,.525,211,596,.354,495,767,.645,300,839,1139,411,178,139,367,524,2236,72.1,UCF
7,33,6650,911,1929,.472,627,1177,.533,284,752,.378,446,624,.715,385,798,1183,468,267,164,439,564,2552,77.3,Mississippi State
8,34,6800,921,1877,.491,621,1061,.585,300,816,.368,374,485,.771,263,850,1113,505,217,91,373,513,2516,74.0,Liberty
9,32,6450,824,1732,.476,517,953,.542,307,779,.394,413,545,.758,285,758,1043,491,213,74,363,489,2368,74.0,Virginia Tech
10,35,7000,836,1999,.418,635,1347,.471,201,652,.308,474,793,.598,480,912,1392,454,248,142,446,611,2347,67.1,Saint Louis
11,32,6400,807,1777,.454,575,1120,.513,232,657,.353,437,584,.748,351,901,1252,423,139,151,420,495,2283,71.3,Maryland
12,32,6575,912,1974,.462,693,1297,.534,219,677,.323,561,744,.754,431,810,1241,420,291,138,422,597,2604,81.4,LSU
13,29,5875,866,1740,.498,644,1143,.563,222,597,.372,399,542,.736,249,870,1119,495,172,126,383,494,2353,81.1,Yale
14,33,6700,828,1908,.434,543,1074,.506,285,834,.342,519,670,.775,338,924,1262,442,147,97,407,569,2460,74.5,Louisville
15,34,6825,840,1922,.437,662,1368,.484,178,554,.321,549,808,.679,388,872,1260,504,163,136,407,550,2407,70.8,Minnesota
16,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,Michigan State
17,34,6825,790,1822,.434,559,1190,.470,231,632,.366,453,654,.693,311,858,1169,410,183,128,430,595,2264,66.6,Bradley
18,34,6900,906,1889,.480,643,1238,.519,263,651,.404,496,680,.729,315,810,1125,478,254,128,460,564,2571,75.6,Fairleigh Dickinson
19,35,7000,903,2062,.438,678,1359,.499,225,703,.320,596,875,.681,393,761,1154,444,309,55,445,758,2627,75.1,Prairie View
20,33,6675,922,2031,.454,641,1253,.512,281,778,.361,433,597,.725,252,824,1076,463,290,110,341,628,2558,77.5,St. John's (NY)
21,32,6500,851,1903,.447,619,1223,.506,232,680,.341,556,829,.671,389,894,1283,435,199,103,434,635,2490,77.8,Arizona State
22,33,6600,1062,1997,.532,805,1293,.623,257,704,.365,551,718,.767,315,960,1275,594,249,178,342,530,2932,88.8,Gonzaga
23,33,6625,787,1855,.424,525,1061,.495,262,794,.330,465,683,.681,356,790,1146,396,273,158,410,576,2301,69.7,Syracuse
24,32,6425,816,1853,.440,562,1105,.509,254,748,.340,407,604,.674,428,794,1222,443,196,152,424,599,2293,71.7,Baylor
25,33,6675,869,1895,.459,558,1104,.505,311,791,.393,516,680,.759,317,932,1249,450,159,141,455,615,2565,77.7,Marquette
26,31,6200,938,1890,.496,696,1195,.582,242,695,.348,464,629,.738,333,839,1172,561,235,142,376,505,2582,83.3,Murray State
27,34,6900,879,1984,.443,624,1224,.510,255,760,.336,534,721,.741,389,882,1271,438,237,145,459,651,2547,74.9,Florida State
28,33,6650,841,1834,.459,584,1105,.529,257,729,.353,500,665,.752,300,861,1161,390,186,133,361,541,2439,73.9,Vermont
29,34,6825,1033,2232,.463,708,1264,.560,325,968,.336,497,719,.691,428,967,1395,573,249,138,402,617,2888,84.9,Buffalo
30,32,6425,837,1774,.472,605,1144,.529,232,630,.368,433,595,.728,282,810,1092,429,232,157,396,567,2339,73.1,Texas Tech
31,34,6850,956,1986,.481,655,1163,.563,301,823,.366,477,717,.665,358,901,1259,581,212,136,424,647,2690,79.1,Northern Kentucky
32,33,6600,905,1944,.466,613,1113,.551,292,831,.351,560,791,.708,307,927,1234,494,204,129,338,563,2662,80.7,Nevada
33,34,6875,814,1908,.427,537,1080,.497,277,828,.335,416,579,.718,361,780,1141,416,244,126,400,581,2321,68.3,Florida
34,34,6800,876,1945,.450,602,1163,.518,274,782,.350,367,526,.698,277,914,1191,475,209,143,298,477,2393,70.4,Michigan
35,34,6825,953,1919,.497,671,1181,.568,282,738,.382,422,612,.690,286,856,1142,498,222,101,406,637,2610,76.8,Montana
36,33,6625,1023,2207,.464,734,1415,.519,289,792,.365,505,681,.742,433,1016,1449,627,237,117,432,566,2840,86.1,UNC
37,32,6400,835,1842,.453,553,1038,.533,282,804,.351,507,684,.741,282,844,1126,420,217,89,394,552,2459,76.8,Iona
38,34,6850,940,1983,.474,673,1231,.547,267,752,.355,543,727,.747,366,1002,1368,583,211,142,428,632,2692,79.2,Utah State
39,34,6825,835,1845,.453,581,1111,.523,254,734,.346,450,648,.694,322,754,1076,397,305,193,452,625,2374,69.8,Washington
40,35,7050,956,2135,.448,560,1083,.517,396,1052,.376,477,669,.713,419,793,1212,501,330,168,424,636,2785,79.6,Auburn
41,34,6825,937,2041,.459,618,1089,.567,319,952,.335,464,687,.675,435,869,1304,501,191,89,403,607,2657,78.1,New Mexico State
42,34,6875,928,2008,.462,682,1306,.522,246,702,.350,461,661,.697,353,940,1293,453,233,134,444,573,2563,75.4,Kansas
43,33,6725,864,1791,.482,542,961,.564,322,830,.388,461,614,.751,230,818,1048,473,203,71,371,528,2511,76.1,Northeastern
44,34,6800,951,1994,.477,663,1205,.550,288,789,.365,443,605,.732,321,878,1199,518,238,158,367,502,2633,77.4,Iowa State
45,33,6625,797,1824,.437,548,1098,.499,249,726,.343,455,620,.734,310,835,1145,470,195,83,413,592,2298,69.6,Ohio State
46,34,6800,902,2030,.444,589,1159,.508,313,871,.359,454,647,.702,422,969,1391,503,219,153,386,648,2571,75.6,Houston
47,33,6600,885,1908,.464,561,1072,.523,324,836,.388,449,677,.663,267,816,1083,410,263,157,384,572,2543,77.1,Georgia State
48,33,6650,997,2022,.493,633,1148,.551,364,874,.416,381,545,.699,350,826,1176,507,227,99,359,557,2739,83.0,Wofford
49,33,6675,863,1959,.441,632,1245,.508,231,714,.324,483,682,.708,351,830,1181,447,231,129,410,619,2440,73.9,Seton Hall
50,33,6625,878,1835,.478,679,1288,.527,199,547,.364,577,780,.740,384,888,1272,457,199,167,417,537,2532,76.7,Kentucky
51,33,6650,880,1858,.474,634,1221,.519,246,637,.386,452,632,.715,322,771,1093,514,288,90,397,619,2458,74.5,Abilene Christian
52,32,6425,820,1715,.478,549,1053,.521,271,662,.409,388,520,.746,284,828,1112,464,180,122,289,469,2299,71.8,Virginia
53,34,6950,933,1912,.488,661,1216,.544,272,696,.391,524,737,.711,268,901,1169,492,233,99,391,545,2662,78.3,Gardner-Webb
54,32,6425,847,1844,.459,586,1115,.526,261,729,.358,458,585,.783,315,783,1098,459,234,116,405,579,2413,75.4,Ole Miss
55,32,6425,830,1864,.445,618,1244,.497,212,620,.342,405,586,.691,295,908,1203,406,190,99,390,504,2277,71.2,Oklahoma
56,33,6725,854,1885,.453,619,1243,.498,235,642,.366,336,518,.649,269,893,1162,421,169,139,314,496,2279,69.1,Wisconsin
57,35,7050,886,1970,.450,620,1195,.519,266,775,.343,429,597,.719,340,871,1211,467,272,149,412,622,2467,70.5,Oregon
58,33,6600,784,1818,.431,551,1124,.490,233,694,.336,371,559,.664,308,792,1100,454,251,75,372,532,2172,65.8,Kansas State
59,35,7100,945,2058,.459,707,1398,.506,238,660,.361,423,608,.696,412,992,1404,463,199,148,412,648,2551,72.9,UC-Irvine
60,34,6875,840,1912,.439,479,889,.539,361,1023,.353,491,675,.727,357,843,1200,485,184,103,371,558,2532,74.5,Villanova
61,33,6625,876,1850,.474,631,1202,.525,245,648,.378,409,549,.745,324,823,1147,332,198,84,347,561,2406,72.9,Saint Mary's
62,32,6450,857,1920,.446,546,1066,.512,311,854,.364,413,564,.732,391,789,1180,462,208,129,341,558,2438,76.2,Purdue
63,34,6800,806,1960,.411,548,1229,.446,258,731,.353,382,579,.660,408,916,1324,435,190,155,399,560,2252,66.2,Old Dominion
64,34,6850,844,1953,.432,618,1307,.473,226,646,.350,524,744,.704,431,801,1232,457,210,153,358,545,2438,71.7,Cincinnati
65,33,6650,862,1894,.455,595,1155,.515,267,739,.361,593,801,.740,343,836,1179,519,204,108,401,529,2584,78.3,Iowa
66,34,6875,1014,2039,.497,781,1395,.560,233,644,.362,520,682,.762,347,930,1277,619,203,184,380,593,2781,81.8,Tennessee
67,34,6875,930,1939,.480,625,1153,.542,305,786,.388,413,557,.741,319,890,1209,531,210,120,443,532,2578,75.8,Colgate
