team1,team2,round,winner
Belmont,Temple,1,1
North Dakota State,North Carolina Central,1,1
Arizona State,St. John's (NY),1,1
Prairie View,Fairleigh Dickinson,1,0
Duke,North Dakota State,2,1
VCU,UCF,2,0
Mississippi State,Liberty,2,1
Virginia Tech,Saint Louis,2,1
Maryland,Belmont,2,1
LSU,Yale,2,1
Louisville,Minnesota,2,0
Michigan State,Bradley,2,1
Gonzaga,Fairleigh Dickinson,2,1
Syracuse,Baylor,2,0
Marquette,Murray State,2,0
Florida State,Vermont,2,1
Buffalo,Arizona State,2,1
Texas Tech,Northern Kentucky,2,1
Nevada,Florida,2,0
Michigan,Montana,2,1
Virginia,Gardner-Webb,2,1
Ole Miss,Oklahoma,2,0
Wisconsin,Oregon,2,0
Kansas State,UC-Irvine,2,0
Villanova,Saint Mary's,2,1
Purdue,Old Dominion,2,1
Cincinnati,Iowa,2,0
Tennessee,Colgate,2,1
North Carolina Central,Iona,2,1
Utah State,Washington,2,0
Auburn,New Mexico State,2,1
Kansas State,Northeastern,2,1
Iowa State,Ohio State,2,0
Houston,Georgia State,2,1
Wofford,Seton Hall,2,1
Kentucky,Abilene Christian,2,1
Duke,UCF,3,1
Liberty,Virginia Tech,3,0
Maryland,LSU,3,0
Minnesota,Michigan State,3,0
Gonzaga,Baylor,3,1
Murray State,Florida State,3,0
Buffalo,Texas Tech,3,0
Florida,Michigan State,3,0
Virginia,Oklahoma,3,1
Oregon,UC-Irvine,3,1
Villanova,Purdue,3,0
Iowa,Tennessee,3,0
North Carolina Central,Washington,3,1
Auburn,Kansas,3,1
Ohio State,Houston,3,0
Wofford,Kentucky,3,0
Duke,Virginia Tech,4,1
LSU,Michigan State,4,0
Gonzaga,Florida State,4,1
Texas Tech,Michigan,4,1
Virginia,Oregon,4,1
Purdue,Tennessee,4,1
North Carolina Central,Auburn,4,0
Houston,Kentucky,4,0
Duke,Michigan State,5,0
Gonzaga,Texas Tech,5,0
Virginia,Purdue,5,1
Auburn,Kentucky,5,1
Michigan State,Texas Tech,6,0
Virginia,Auburn,6,1
Texas Tech,Virginia,7,0
